Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Delivery_Time,Distance_km
INDORES14DEL01,39,4.2,3,3,39,16.63487012
COIMBRES17DEL01,37,4.8,2,3,18,6.232139487
CHENRES11DEL01,32,4.9,1,2,28,6.209021102
KNPRES17DEL02,22,4.5,1,3,18,7.460830128
COIMBRES12DEL02,23,4.9,2,3,18,20.25378536
RANCHIRES04DEL01,33,4.7,3,3,49,16.6009757
KOLRES17DEL03,23,4.6,1,2,15,4.540321373
BANGRES19DEL02,27,4.6,1,2,21,12.42121274
MUMRES17DEL01,34,4.7,3,3,23,6.118711847
SURRES14DEL01,26,5,2,3,11,1.520431948
VADRES14DEL03,31,4.6,3,2,25,9.087972745
PUNERES09DEL02,32,4.9,3,2,18,3.064487106
INDORES19DEL02,27,4.7,0,2,14,3.025144329
BANGRES010DEL03,21,4.9,1,2,36,13.97320677
BANGRES12DEL02,28,4.8,1,2,18,7.763102785
VADRES04DEL01,24,4.9,2,3,17,6.290134678
HYDRES14DEL01,33,4.4,3,2,28,1.53685038
BANGRES11DEL03,20,4.6,0,2,44,13.97317756
COIMBRES13DEL03,31,4.3,3,2,20,9.348403523
PUNERES05DEL03,29,4.6,3,3,19,4.596576884
VADRES20DEL01,36,5,3,2,35,10.60246799
CHENRES19DEL01,31,4.2,2,2,50,17.0762589
HYDRES02DEL03,39,4.1,2,3,34,9.220834607
SURRES010DEL02,29,4.6,2,1,17,12.16160545
SURRES03DEL01,29,4.6,3,3,23,6.080882968
COIMBRES17DEL03,37,4.9,0,2,27,4.674143699
VADRES08DEL01,33,4.7,3,2,26,6.290134678
MUMRES08DEL01,31,3.9,0,3,35,10.70900337
VADRES18DEL01,37,4.6,1,2,41,6.290134678
BANGRES04DEL03,26,4.4,0,2,23,9.314884733
COIMBRES02DEL01,24,4.6,3,2,30,17.13748258
RANCHIRES12DEL02,23,4.8,0,3,19,3.145067435
VADRES18DEL01,36,4.9,0,3,27,1.572533729
MYSRES13DEL01,39,4.8,3,2,28,6.218002349
COIMBRES03DEL02,20,4.7,1,2,24,12.46388302
MYSRES16DEL02,20,5,2,2,36,20.20658151
KOLRES04DEL03,29,4.3,0,2,28,9.081116432
COIMBRES11DEL01,36,4.8,1,2,31,17.13807743
VADRES13DEL03,36,4,2,2,44,13.6313437
RANCHIRES04DEL02,22,4.8,1,3,15,12.07406309
PUNERES18DEL01,38,4.4,0,2,33,10.72326417
SURRES01DEL02,39,4.9,0,2,30,7.600994631
INDORES08DEL02,24,4.9,3,3,22,7.562982485
VADRES18DEL01,30,4.1,3,2,43,11.00773476
HYDRES18DEL03,35,4.8,2,2,48,13.82931445
CHENRES07DEL03,33,4.5,1,1,19,13.96911697
KOCRES010DEL01,39,4.7,3,2,21,10.92326746
VADRES11DEL02,31,4.3,1,2,44,12.11703643
CHENRES20DEL01,37,4.5,1,3,26,1.552570416
MYSRES04DEL03,37,4.7,0,3,26,4.663566689
MUMRES13DEL01,33,5,2,2,31,1.529497221
RANCHIRES03DEL03,24,4.6,2,3,19,9.435201537
JAPRES08DEL02,33,4.5,3,3,18,11.91675726
ALHRES12DEL01,39,4.7,2,2,38,10.4861177
RANCHIRES11DEL03,37,4.6,3,2,32,13.58307866
HYDRES19DEL02,25,4.9,2,3,17,7.683191405
PUNERES17DEL03,28,4.8,0,3,11,9.193093963
MYSRES010DEL01,38,4.7,0,2,31,6.217883648
JAPRES03DEL01,29,4.6,1,2,43,10.42723566
MYSRES04DEL03,31,4.6,2,2,25,9.326872529
MUMRES06DEL03,25,4.8,3,2,22,9.179538451
MYSRES18DEL01,35,4.9,1,2,43,10.88065185
RANCHIRES18DEL01,39,4.7,0,2,42,10.56526286
INDORES06DEL02,38,3.9,2,2,42,12.10006242
CHENRES15DEL03,35,4.7,1,2,34,4.657159718
JAPRES07DEL02,29,4.7,3,2,17,2.981217855
SURRES18DEL03,27,4.6,3,3,25,4.561265633
SURRES19DEL01,36,4.9,0,2,21,10.64228895
HYDRES04DEL01,26,4,0,2,34,6.147404653
KNPRES16DEL03,26,4.1,2,2,36,13.42847736
MYSRES12DEL03,36,4.9,1,2,17,9.327285158
JAPRES09DEL01,21,4.7,2,2,16,1.489792977
CHENRES04DEL02,35,4.7,2,1,27,12.41839474
MYSRES09DEL01,20,4.5,2,2,26,6.217860689
PUNERES19DEL03,23,4.6,3,2,46,13.78780334
KOLRES18DEL03,37,5,0,2,29,9.080187059
BANGRES14DEL03,26,4.8,3,2,23,9.315441636
SURRES09DEL02,29,5,3,3,11,12.16141716
INDORES09DEL01,26,4.9,3,2,28,16.63687504
PUNERES09DEL03,29,4.8,2,2,25,9.192951167
RANCHIRES01DEL02,29,4.7,3,2,11,3.018226485
LUDHRES010DEL03,21,4.9,2,3,26,4.395420247
MYSRES13DEL02,22,4.3,2,2,23,3.109059104
JAPRES18DEL02,31,4,3,2,39,11.91658284
COIMBRES11DEL02,20,4.5,3,2,11,3.11624851
VADRES13DEL02,30,3.9,1,1,32,12.11695061
BANGRES01DEL01,36,4.8,3,2,43,10.86826312
MYSRES08DEL01,24,4.7,0,3,13,6.218153086
MYSRES15DEL01,32,4.7,0,1,25,1.554424976
CHENRES02DEL03,25,5,1,2,27,9.313017159
HYDRES12DEL01,27,4.5,1,3,29,6.147106623
BANGRES07DEL01,32,4.1,0,2,33,10.86730046
CHENRES09DEL01,23,4.7,1,2,19,6.209259882
BANGRES04DEL02,39,4.4,2,2,33,20.18085917
VADRES04DEL03,20,4.8,3,2,28,9.435201537
JAPRES13DEL02,20,4.8,1,1,15,11.91975599
ALHRES07DEL03,29,4.6,2,3,29,4.494291162
JAPRES06DEL03,26,4.9,2,3,18,20.85172636
KOCRES03DEL01,25,5,2,2,14,1.560573479
BANGRES13DEL01,34,4.7,3,2,30,6.21058961
GOARES02DEL01,31,4.9,3,2,28,6.175283575
RANCHIRES03DEL02,24,4.7,3,2,39,20.44292976
HYDRES12DEL03,30,4.9,2,2,30,13.83008472
JAPRES07DEL02,36,4.8,0,2,36,19.37374583
JAPRES13DEL03,36,4.4,3,2,37,20.85711532
JAPRES18DEL03,26,4.7,2,2,43,20.8515574
VADRES05DEL01,30,4.6,0,3,29,16.65996319
AURGRES02DEL03,20,4.8,1,3,25,4.717601092
BANGRES17DEL02,33,4.7,0,1,15,7.76260024
RANCHIRES14DEL01,29,4.6,3,3,24,11.00773476
MUMRES20DEL03,34,4,3,2,39,13.76685501
HYDRES14DEL02,36,4.6,0,2,20,12.29367767
KNPRES02DEL02,33,4.6,0,2,15,2.984637269
AURGRES19DEL01,22,4.8,1,2,16,16.78827586
PUNERES18DEL01,38,4.7,1,3,19,1.532022774
BANGRES08DEL02,27,4.9,1,3,20,12.42140786
KNPRES16DEL01,32,4.8,2,3,25,10.44477616
BANGRES010DEL02,26,4.8,3,2,43,12.42075005
INDORES03DEL02,29,4.5,1,2,15,19.65937353
COIMBRES16DEL02,31,4.5,0,2,29,12.4641898
HYDRES20DEL01,28,4.6,1,2,14,6.146243658
AGRRES08DEL03,21,4.8,0,2,11,8.929086889
COIMBRES15DEL02,21,4,0,2,19,7.790362125
RANCHIRES12DEL02,30,4.9,1,2,29,12.58026782
ALHRES05DEL01,29,4.7,0,2,11,5.992096715
MUMRES01DEL01,20,4.8,3,2,14,1.529723285
AURGRES14DEL03,28,5,3,2,15,13.73594218
MUMRES13DEL01,25,4.7,2,2,16,10.70555992
PUNERES16DEL01,29,4.6,0,2,43,16.85256547
CHENRES14DEL02,38,4.8,0,2,20,3.104803753
HYDRES06DEL03,39,4.9,1,2,26,4.610073054
SURRES18DEL03,26,4.9,3,3,26,9.122100806
COIMBRES02DEL01,33,4.4,2,2,43,10.90603662
VADRES13DEL03,24,4.6,3,2,25,9.088013799
COIMBRES16DEL01,24,4.9,0,2,28,6.23230338
INDORES13DEL03,33,4.5,0,3,17,13.61156672
INDORES12DEL03,35,4.2,1,2,44,13.61142863
MUMRES13DEL03,27,4.2,0,2,33,13.76389621
CHENRES06DEL02,29,4.6,3,3,19,7.761350405
BANGRES06DEL03,29,4.5,3,2,15,4.657591595
AGRRES11DEL02,34,4.7,0,3,27,19.34348722
KNPRES15DEL02,20,4.7,2,3,25,2.98451256
VADRES13DEL01,29,4.8,1,2,18,6.058876304
VADRES01DEL03,22,4.9,3,3,21,9.088084092
KOCRES14DEL01,32,4.4,1,2,42,17.1648339
LUDHRES18DEL01,28,4.9,3,2,20,16.11387241
COIMBRES14DEL02,30,4.7,2,3,29,20.25368634
CHENRES19DEL01,22,4.7,3,3,15,17.0762589
COIMBRES15DEL02,36,4.7,0,2,30,7.790362125
SURRES20DEL02,23,4.8,3,2,28,19.76218982
INDORES18DEL02,22,4.8,1,2,19,3.025059809
AURGRES04DEL02,29,4.5,2,2,15,19.83956144
CHENRES01DEL01,34,4.9,0,2,50,17.0755944
BANGRES010DEL01,38,4.1,0,2,41,1.552700116
VADRES09DEL01,35,5,3,2,37,11.00773476
VADRES15DEL03,38,4.7,1,3,28,9.435201537
DEHRES010DEL01,32,4.3,2,3,35,10.28057282
BANGRES07DEL01,20,4.5,0,2,27,10.86730046
CHENRES05DEL02,25,4.9,0,2,43,12.41768756
JAPRES06DEL03,29,4.5,2,3,12,8.937860882
AGRRES12DEL03,32,4.7,2,3,31,6047.919478
DEHRES12DEL02,39,4.1,1,2,39,20.44292976
VADRES01DEL01,31,4.4,0,2,47,16.66010812
SURRES13DEL02,37,4.5,0,2,26,7.601385733
LUDHRES05DEL03,36,4.9,3,1,31,13.18376361
JAPRES16DEL03,37,3.8,3,2,42,20.85683372
PUNERES02DEL03,29,4.6,2,3,12,16612.23905
COIMBRES14DEL01,38,4.9,3,3,25,6.232373005
AGRRES010DEL02,37,4.4,1,2,39,11.90486549
SURRES14DEL03,21,4.9,0,3,21,13.68216485
JAPRES04DEL03,35,4.9,2,1,18,4.469362227
JAPRES01DEL03,22,4.8,3,3,22,13.40635546
HYDRES010DEL02,28,4.8,0,2,23,3.073644028
MYSRES16DEL02,39,4,1,2,48,20.20658151
BANGRES15DEL02,29,4.5,3,3,13,12.41972487
CHENRES15DEL02,39,4.6,1,2,32,3.104803711
MYSRES05DEL02,25,4.9,3,1,16,20.20631642
COIMBRES03DEL03,34,5,3,1,19,4.674151775
BANGRES01DEL02,22,4.8,1,2,18,3.105369976
KNPRES12DEL01,27,5,0,2,27,10.44439086
MUMRES010DEL01,28,4.5,1,2,25,10.71090336
COIMBRES20DEL03,32,5,1,3,31,4.674393133
RANCHIRES08DEL01,29,4.6,1,3,39,16.60127679
HYDRES16DEL01,27,4.6,3,2,20,10.75669788
MUMRES01DEL02,35,3.9,3,2,38,12.23656154
MYSRES08DEL03,22,4.6,0,2,19,4.66365823
AURGRES16DEL03,35,4.7,1,1,17,4.717601092
VADRES11DEL01,30,4.6,0,2,24,1.514804895
MYSRES09DEL02,39,4.8,1,3,26,3.10898833
HYDRES18DEL03,33,4.8,2,2,28,9.219905582
PUNERES05DEL02,20,4.7,3,3,16,12.25668734
VADRES04DEL03,20,4.7,0,2,17,4.717601092
MYSRES02DEL03,34,4.2,3,2,24,9.32694087
MYSRES03DEL01,22,4.7,2,2,24,10.88143182
JAPRES16DEL02,37,4.3,2,3,34,2.980249385
MUMRES010DEL01,20,4.8,3,2,16,1.530259489
SURRES15DEL02,33,4.9,1,2,26,7.601614738
INDORES06DEL02,21,5,1,2,25,19.66094395
VADRES06DEL01,33,4.6,2,2,49,10.60241776
BANGRES04DEL02,24,4.6,3,1,24,12.41960204
RANCHIRES12DEL02,36,4.7,2,3,32,3.145067435
MUMRES19DEL03,30,4.6,0,2,26,4.588898781
HYDRES05DEL03,32,4.9,0,3,24,13.82993179
HYDRES010DEL02,28,4.6,1,1,16,19.97580879
JAPRES07DEL02,21,4.7,1,3,27,19.37374583
AURGRES12DEL02,39,4.9,1,2,25,3.052706857
CHENRES15DEL02,32,4.7,1,2,26,3.104803711
MUMRES07DEL03,20,4.5,0,3,25,9.178605957
VADRES12DEL03,29,4.6,2,2,26,4.717601092
JAPRES16DEL01,36,5,2,3,15,1.490153881
BANGRES09DEL02,28,4.8,0,3,18,3.105364545
PUNERES12DEL02,32,4.5,0,2,30,7.661250454
CHENRES19DEL01,39,4.4,1,3,46,17.0762589
SURRES07DEL01,30,4.7,1,2,24,16.72143014
PUNERES19DEL01,32,4.4,1,2,37,6.128419378
INDORES15DEL03,23,4.6,3,2,27,13.61087758
MUMRES01DEL01,21,4.8,0,3,27,6.118630884
INDORES17DEL03,31,4.2,2,1,32,9.074342229
MUMRES13DEL02,37,4.6,0,1,28,3.058950642
SURRES18DEL02,20,4.5,1,2,29,7.601870283
JAPRES14DEL01,28,4.5,3,2,27,1.489927164
MYSRES08DEL01,22,4.9,3,2,11,1.554581663
HYDRES19DEL03,20,4.7,0,2,13,9.219708856
RANCHIRES010DEL02,34,4.8,0,3,27,19.61896865
CHENRES09DEL01,38,4.8,3,3,25,6.209259882
BANGRES13DEL02,29,4.6,1,3,26,20.18263449
RANCHIRES01DEL01,32,4.5,0,2,27,6.036244197
PUNERES12DEL01,34,4.9,3,3,26,16.85334715
INDORES07DEL03,33,3.9,2,1,32,13.61259424
INDORES19DEL02,34,4.5,2,2,25,3.025144329
VADRES04DEL03,32,4.6,2,2,32,4.717601092
BANGRES20DEL01,29,4.6,1,3,42,10.86743475
MYSRES02DEL02,34,4.7,1,2,29,7.7725232
SURRES05DEL01,26,4.6,0,3,32,10.64143696
BANGRES13DEL02,31,4,1,2,35,12.42069254
SURRES010DEL01,39,4.8,1,2,27,6.081185878
ALHRES09DEL01,27,4.8,2,2,15,1.572533729
HYDRES18DEL02,32,5,0,3,27,7.6833553
KOLRES03DEL02,32,4.5,2,2,30,7.568033296
RANCHIRES16DEL01,39,4.1,3,2,32,10.56454052
PUNERES12DEL01,36,4.8,2,1,25,1.532335016
BANGRES16DEL03,37,4.1,0,2,38,4.657133019
RANCHIRES01DEL03,37,4.8,2,3,26,9.05405295
PUNERES12DEL01,38,3.7,2,2,31,16.85334715
RANCHIRES01DEL02,28,4.7,1,3,28,3.018226485
PUNERES06DEL01,34,3.8,2,3,31,16.85211869
CHENRES15DEL01,32,4.9,0,2,29,17.0749043
JAPRES010DEL03,22,4.7,0,2,17,8.937527874
KOLRES15DEL03,31,4,1,2,45,13.62035716
MYSRES15DEL02,27,4,2,2,34,12.43458553
COIMBRES19DEL01,29,4.9,1,3,24,17.13748772
COIMBRES09DEL03,38,4.8,2,2,44,9.348325937
SURRES19DEL02,35,4.8,3,2,36,7.601874227
BANGRES20DEL03,31,4.9,2,2,28,4.657654937
CHENRES16DEL03,30,4.3,1,3,37,13.97000799
RANCHIRES12DEL03,24,4.9,3,2,10,9.435201537
HYDRES11DEL03,33,4.8,1,2,23,13.83005348
DEHRES19DEL01,29,4.6,2,2,22,10.27859669
MUMRES15DEL01,38,4.6,3,3,26,6.117761954
RANCHIRES18DEL03,26,4.9,1,2,34,9.056095962
VADRES07DEL01,39,4.8,0,3,26,6.290134678
VADRES04DEL01,24,4.5,3,2,21,17.29786575
PUNERES17DEL03,34,4.2,2,2,28,9.193093963
JAPRES07DEL03,26,4.7,3,2,14,8.942954309
INDORES07DEL01,35,4.7,2,2,17,6.050551152
BANGRES04DEL03,36,4.2,1,2,37,4.65757959
VADRES01DEL01,24,2.6,1,2,42,16.66010812
VADRES18DEL01,29,4.6,3,2,17,11.00773476
MUMRES07DEL01,33,4.3,2,2,34,16.82624165
AURGRES03DEL01,26,4.6,0,2,25,16.78788895
CHENRES17DEL01,32,5,0,3,30,17.07425678
JAPRES20DEL03,37,4.9,2,2,48,13.40365433
KOCRES14DEL02,26,4.9,1,3,18,20.2854021
COIMBRES09DEL02,31,4.8,1,3,28,20.25351813
CHENRES08DEL03,37,4.6,0,2,26,13.97075966
MUMRES08DEL01,26,4.7,1,3,16,16.82747277
INDORES010DEL03,37,4.8,2,2,25,4.53757135
RANCHIRES03DEL02,22,4.6,1,2,22,20.44292976
SURRES04DEL03,21,4.4,1,2,15,4.560926278
BANGRES16DEL01,22,4,3,2,28,1.552408237
CHENRES14DEL01,38,4.5,2,2,20,1.552417151
CHENRES03DEL01,28,4,0,2,32,6.208681984
VADRES09DEL02,29,4.7,2,3,17,20.44292976
VADRES11DEL01,31,4.9,1,2,38,6.058919182
SURRES12DEL02,24,4.8,3,3,14,3.040570257
VADRES04DEL01,33,4.8,0,2,26,6.290134678
PUNERES11DEL03,26,4.9,3,2,30,13.78895742
RANCHIRES18DEL02,29,4.6,2,3,28,12.07437756
COIMBRES14DEL02,20,4.7,3,3,29,7.790401204
SURRES19DEL02,29,4.8,0,3,12,19.76238226
BANGRES15DEL01,32,4,0,2,49,10.86736612
VADRES20DEL01,20,4.9,2,2,42,16.6599173
CHENRES19DEL01,26,5,2,1,24,10.8671383
SURRES09DEL01,38,4.8,0,2,46,16.72115728
GOARES17DEL01,34,4.6,2,1,27,6.176576612
JAPRES19DEL02,27,4.5,3,2,13,2.979500008
KOLRES18DEL01,29,5,1,2,25,10.59337435
SURRES07DEL02,24,4.9,1,2,24,19.76106633
INDORES12DEL01,21,4.9,0,2,12,1.512584769
LUDHRES16DEL01,33,4.4,1,2,24,1.465185811
RANCHIRES06DEL03,35,4.7,2,2,29,9.055898608
COIMBRES16DEL02,35,4.7,3,3,18,12.4641898
DEHRES13DEL02,29,4.6,3,3,20,17744.20509
MYSRES06DEL03,29,4.6,0,2,13,4.663432063
MUMRES16DEL01,29,4.8,1,2,23,10.70734504
PUNERES19DEL02,21,4.9,0,2,19,12.25607645
BANGRES08DEL01,29,4.6,2,2,29,17.07893409
BANGRES010DEL03,22,4.7,3,2,24,13.97320677
MYSRES20DEL01,29,4.6,1,3,27,6.217689155
AGRRES01DEL02,24,4.4,2,3,40,11.90494294
MYSRES18DEL01,23,4.9,3,3,22,1.554465961
CHENRES010DEL01,27,4.6,1,3,12,1.552293346
COIMBRES20DEL02,33,4.1,1,2,43,12.46452806
HYDRES16DEL01,35,4.6,2,3,26,16.90249593
COIMBRES14DEL03,21,4.7,0,3,27,4.67431876
CHENRES11DEL03,39,4.4,2,2,35,13.96960643
CHENRES010DEL02,34,4.8,1,3,27,7.761160094
SURRES16DEL01,29,4.9,1,2,27,6.081389117
MUMRES07DEL02,20,4.7,0,3,17,3.059709961
ALHRES11DEL01,20,4.8,1,2,17,11.00773476
RANCHIRES01DEL03,30,4.7,1,2,15,9.05405295
DEHRES07DEL02,37,4.7,0,3,39,19.08711081
INDORES08DEL03,39,4.6,1,2,25,4.537860442
HYDRES01DEL01,26,5,1,2,18,16.90384389
ALHRES11DEL02,32,4.9,2,2,48,12.58026782
PUNERES13DEL03,21,4.7,1,3,28,13.78786024
BANGRES20DEL02,35,4.8,3,3,29,3.105133735
RANCHIRES01DEL03,39,4.6,0,2,32,4.527261449
BANGRES08DEL02,39,5,2,2,41,20.18379903
KOCRES20DEL01,27,4.9,1,2,39,10.92420466
CHENRES16DEL03,33,4.8,1,3,16,4.656945386
HYDRES04DEL02,33,4.8,2,2,48,19.97671211
BANGRES01DEL01,37,4.7,0,2,40,10.86826312
COIMBRES12DEL02,20,4.6,1,2,11,3.116253656
LUDHRES07DEL02,20,4.6,0,2,19,12.58026782
PUNERES010DEL01,31,4.2,1,3,35,10.72487929
COIMBRES19DEL02,27,4.6,0,1,16,3.116141713
VADRES010DEL02,37,4.9,1,3,15,7.573467822
BANGRES14DEL02,34,4.4,0,3,31,7.762944134
COIMBRES05DEL03,25,4.7,3,2,11,9.348114492
AURGRES07DEL02,37,4.7,2,2,22,7.631511904
KOCRES11DEL01,23,4.7,2,3,16,10.92374499
MYSRES17DEL01,27,5,1,2,24,6.217824018
HYDRES13DEL02,36,4.7,3,1,16,3.073618468
JAPRES14DEL03,30,4.3,3,2,42,20.85365361
AURGRES20DEL01,20,4.9,1,2,31,1.572533729
COIMBRES13DEL01,28,4.7,3,3,31,10.90637959
VADRES07DEL02,36,4,0,2,33,3.145067435
CHENRES08DEL02,20,4.7,1,3,16,7.761839422
PUNERES04DEL01,22,4.7,0,2,16,16.85361873
MYSRES15DEL01,28,4.7,0,2,25,17.09707394
SURRES03DEL01,34,4.8,0,1,18,1.520292549
VADRES01DEL01,25,4.8,1,3,26,16.66010812
AURGRES05DEL02,38,5,2,3,34,7.631520638
JAPRES17DEL02,34,3.5,3,2,32,11.91768046
VADRES13DEL01,24,4.9,1,2,22,16.65997913
RANCHIRES04DEL03,33,4.6,3,2,50,13.58308621
KOLRES14DEL02,21,4.6,3,3,16,3.027096857
KOLRES04DEL03,25,4.6,1,2,23,9.081116432
VADRES14DEL01,23,4.9,0,2,19,6.058848945
LUDHRES06DEL02,34,4.9,3,2,25,7.325299567
